#reassigned_contig	top_hit_contig	second_hit_contig	best_match_coverage	max_match_coverage	reassignment
scaffold62|size471444|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold38|size470352|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold109|size460023|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold24|size453710|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold27|size438319|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold108|size437298|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold28|size434884|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold34|size429539|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold29|size428004|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold30|size420415|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold31|size419057|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold41|size416595|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold32|size406210|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold110|size402519|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold141|size400359|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold93|size399925|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold33|size399337|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold154|size396829|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold66|size392583|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold35|size391383|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold36|size390704|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold57|size389448|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold42|size387291|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold143|size387205|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold71|size386875|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold37|size383752|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold178|size379943|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold39|size377471|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold40|size366621|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold54|size366399|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold53|size364871|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold100|size362872|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold51|size361156|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold207|size353643|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold43|size351167|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold44|size349773|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold45|size347064|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold59|size346943|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold63|size346564|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold47|size344235|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold90|size341427|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold48|size340466|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold49|size340095|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold50|size338274|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold212|size340389|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold125|size336411|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold89|size332994|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold52|size332863|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold77|size331960|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold65|size329611|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold69|size328952|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold64|size328606|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold85|size326657|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold61|size321053|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold60|size321090|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold132|size320635|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold180|size319720|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold72|size319034|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold102|size317085|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold162|size314378|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold171|size301621|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold198|size298644|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold68|size295929|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold70|size292930|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold87|size292118|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold146|size291459|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold73|size286855|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold81|size292138|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold74|size283303|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold229|size279953|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold78|size276835|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold211|size275745|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold80|size271848|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold166|size270642|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold82|size269437|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold83|size269412|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold84|size267316|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold121|size266452|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold208|size265953|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold181|size264985|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold167|size264367|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold131|size262413|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold126|size260468|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold120|size258109|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold150|size257533|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold88|size255586|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold266|size258311|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold155|size253168|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold122|size251664|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold206|size249831|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold118|size249118|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold329|size247594|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold91|size245868|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold92|size245668|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold95|size243133|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold94|size243238|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold148|size242202|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold96|size240886|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold97|size238428|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold98|size238000|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold252|size237875|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold99|size236706|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold101|size234273|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold103|size233355|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold104|size233198|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold192|size232432|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold105|size232113|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold106|size231168|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold107|size231138|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold111|size226991|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold112|size225953|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold113|size224999|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold114|size224952|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold115|size224143|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold187|size223706|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold147|size221930|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold116|size221835|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold185|size221861|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold117|size221459|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold119|size220890|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold145|size217690|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold218|size217604|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold124|size215195|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold128|size212157|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold127|size212191|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold129|size212043|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold270|size211894|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold130|size210060|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold190|size208409|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold189|size207620|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold325|size207442|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold361|size206300|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold133|size205237|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold134|size204887|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold210|size203930|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold274|size203813|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold135|size201384|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold136|size200813|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold137|size199908|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold261|size199567|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold138|size199405|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold139|size198043|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold224|size197367|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold140|size196023|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold184|size195796|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold144|size194715|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold142|size195172|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold186|size194085|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold423|size191518|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold245|size185658|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold149|size185051|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold222|size184446|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold151|size183424|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold152|size182903|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold191|size182003|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold153|size181743|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold156|size181326|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold158|size180791|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold259|size179919|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold159|size178888|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold309|size178775|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold239|size178451|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold160|size178113|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold157|size180823|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold161|size176691|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold250|size174933|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold163|size174257|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold164|size172812|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold165|size171985|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold168|size170928|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold169|size170559|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold170|size168933|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold172|size165477|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold173|size165078|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold174|size163700|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold175|size162998|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold453|size162264|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold176|size161784|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold225|size161219|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold177|size160097|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold179|size158927|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold444|size156824|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold395|size155300|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold182|size155885|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold183|size155880|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold232|size155884|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold370|size155732|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold234|size154681|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold240|size154607|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold288|size154479|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold188|size153720|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold254|size150548|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold193|size150190|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold194|size150033|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold359|size149732|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold195|size149766|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold293|size149775|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold196|size149376|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold197|size145820|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold199|size144453|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold321|size144119|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold200|size144013|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold201|size143921|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold202|size143305|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold204|size143092|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold205|size142522|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold347|size142098|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold314|size141664|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold203|size143296|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold209|size140228|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold272|size140167|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold383|size139853|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold304|size138602|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold213|size137771|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold214|size137125|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold215|size136476|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold363|size136311|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold216|size136112|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold217|size134720|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold220|size133764|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold221|size133446|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold223|size132921|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold219|size134657|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold413|size131647|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold381|size130710|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold226|size130013|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold227|size129571|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold228|size129480|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold389|size128799|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold230|size129189|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold231|size129132|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold327|size128863|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold233|size128304|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold312|size126728|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold235|size126721|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold236|size126248|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold237|size125853|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold238|size124934|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold241|size122758|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold242|size122329|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold243|size121997|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold244|size121937|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold246|size121218|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold247|size121021|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold248|size120881|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold249|size120459|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold251|size120194|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold400|size119364|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold253|size118161|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold255|size116057|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold256|size115913|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold441|size115644|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold257|size115542|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold260|size114462|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold258|size114632|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold262|size114164|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold263|size114129|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold264|size113240|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold265|size113038|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold406|size112831|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold267|size112121|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold268|size111067|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold357|size111087|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold269|size110991|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold271|size110612|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold273|size109439|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold410|size109410|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold275|size108741|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold394|size108187|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold276|size108141|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold279|size106369|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold277|size107044|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold278|size106419|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold280|size106148|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold281|size106070|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold282|size105761|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold438|size105582|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold283|size104618|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold284|size104220|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold285|size104151|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold286|size104003|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold287|size103337|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold289|size102282|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold402|size102226|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold430|size102115|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold290|size101274|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold291|size101247|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold292|size101124|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold294|size101116|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold295|size100367|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold428|size100146|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold450|size100019|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold296|size99728|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold297|size99410|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold392|size99389|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold298|size99300|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold299|size98871|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold300|size98407|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold301|size98301|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold302|size97942|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold303|size97839|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold305|size97654|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold306|size97548|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold307|size97507|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold308|size96550|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold496|size96393|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold436|size96195|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold310|size95943|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold311|size95241|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold313|size94643|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold524|size94342|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold407|size94110|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold512|size93937|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold315|size93347|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold316|size93141|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold317|size92697|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold318|size92490|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold319|size92426|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold451|size92255|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold471|size91906|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold510|size91523|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold322|size91483|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold457|size91449|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold320|size91972|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold323|size91319|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold326|size90326|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold324|size90714|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold328|size89906|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold330|size89526|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold331|size89169|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold332|size89049|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold459|size89417|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold333|size88753|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold538|size88627|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold334|size88599|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold335|size88387|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold511|size87726|pilon|pilon|pilon	-	-	-	-	KEEP
scaffold337|size87758|pilon|pilon|pilon	-	-	-	-	KEEP
